Name,Region,Address,Contact,Curriculum
Ganga International School,Karnataka,"Ganga International School,Nagaraj Farm Near Gruhalakshmi Layout Nelagadaranahalli, Bangalore, Bengaluru, Karnataka - 560073 ","['080-28397029', '080-22757943']",ICSE
St. Germain High School,Karnataka,"St. Germain High School,Fraser Town P. O. Box #504, Bangalore, Bengaluru, Karnataka - 560005 ",['080-25511353'],ICSE
Sacred Heart Girls' High School,Karnataka,"Sacred Heart Girls' High School,Bangalore, Museum Road, Bengaluru, Karnataka - 560025 ",['080-22211237'],ICSE
Spurthy Global School,Karnataka,"Spurthy Global School,#328 Marasur Gate Anekal Main Road Marasur Post Anekal Taluk, Bangalore, Bengaluru, Karnataka ",[''],ICSE
Gopalan International School,Karnataka,"Gopalan International School,Hoodi Village, K. R. Puram Hobli, Whitefield Road, Bangalore, Bengaluru, Karnataka - 560048 ",['www.gopalanschool.com'],ICSE
Gopalan National School,Karnataka,"Gopalan National School,Plot #13 Doddenakundi II Phase Brookefield Road, Bangalore, Bengaluru, Karnataka ","['080-41554091', '080-655995703']",ICSE
Sophia High School,Karnataka,"Sophia High School,70 Palace Road, Bangalore, Bengaluru, Karnataka ",['080-22266825'],ICSE
St. John's High School,Karnataka,"St. John's High School,132st. John's Church Road Cleveland Town P. B. #505, Bangalore, Bengaluru, Karnataka - 560005 ","['080-25361456', '080-25544477']",ICSE
Tunbridge High School,Karnataka,"Tunbridge High School,86/2 Infantry Road, Bangalore, Bengaluru, Karnataka ","['080-25582813', '080-25321785']",ICSE
Lowry Memorial High School,Karnataka,"Lowry Memorial High School,Dooravani Nagar Post, Bangalore, Bengaluru, Karnataka - 560016 ","['080-28510069', '080-28517987']",ICSE
